keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""Splint (玻璃纤维夹板"",""Evacuated Blood Collection Tubes (一次性真空采血管(商品名：AKURET)"",""UltraEZ Desensitizing Gel (脱敏剂(商品名：UltraEZ)"",""Endometrial Cell Sampler (子宫内膜细胞采样器(商品名：Endocell)"",""Arterial Blood Sampler (一次性使用人体动脉血样采集器(商品名：动脉采样器)"",""Panoramic and Cephalo Radiograph (全景及头颅X射线摄影机"",""X-Ray Bone Densitometer (X光骨密度测定仪"",""AXSYM FOLATE standard Calibrators (叶酸标准校准品"",""Stat Profile Critical Care Xpress Chemistry Controls (血气分析仪用质控品"",""Stat Profile pHOx Ultra/Critical Care Xpress Chemistry Controls (血气分析仪用质控品"",""MESACUP Desmoglein Test \""Dsg3\"" (桥粒芯蛋白3(Dsg3)抗体检测试剂盒(ELISA)"",""MESACUP BP180 TEST (BP180抗体检测试剂盒(ELISA)"",""MESACUP Desmoglein Test \""Dsg1\"" (桥粒芯蛋白1(Dsg1)抗体检测试剂盒(ELISA)"",""IMMULITE2000 Insulin (胰岛素测定试剂盒(化学发光法)"",""IMMULITE Intact PTH Sample Diluent (全段甲状旁腺激素样本稀释液""]"
"[""IMMULITE Beta-2 Microglobulin Sample Diluent (β-2微球蛋白样本稀释液"",""iViewDAB detection Kit (DAB染色液"",""Laminaria (一次性使用宫颈扩张棒"",""contiform (子宫托"",""Cardio-vascular Surgical Instruments (胸腔心血管外科手术器械(商品名：蛇牌 Aesculap)"",""VITROS Chemistry Products dTIBC Performance Verifier I and II (总铁结合力质控品"",""Etchants (酸蚀剂"",""Hip Joint Prostheses Instrumentation Set (髋关节假体配套工具组合(商品名：VerSys)"",""GORE PRECLUDE Pericardial Membrane (心包膜(商品名：GORE PRECLUDE)"",""Tracheal Tube (一次性使用气管插管"",""1·DAY ACUVUE Brand Contact Lenses (软性角膜接触镜(商品名：强生日晰)"",""Plate and Screw System (接骨钢板螺钉系统－异型钢板系列(商品名：Zimmer 通用锁定(Zimmer Universal Locking))"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""Power Drive (动力系统"",""Dental Unit Set (牙科综合治疗台""]"
"[""Burnable Splint (聚酯纤维夹板"",""LIAISON Toxo IgG II (弓形虫IgG抗体检测试剂盒(化学发光法)"",""LIAISON HSV-1/2 IgG (单纯疱疹病毒1+2型IgG抗体检测试剂盒(化学发光法)"",""Intraosseous Infusion Needle (骨内注射针"",""Triton Power Surgical System (气动外科手术系统"",""Exceed ABT Acetabular System Instruments (髋关节手术工具(商品名：Exceed ABT)"",""IMMULITE2000 FSH (促卵泡生成激素测定试剂盒(化学发光法)"",""ARCHITECT STAT CK-MB Calibrators (肌酸激酶同工酶校准品"",""ARCHITECT STAT Troponin-I Controls (肌钙蛋白-I质控品"",""ARCHITECT STAT Troponin-I Calibrators (肌钙蛋白-I校准品"",""DIAGNOSTIC ULTRASOUND SYSTEM (超声诊断设备"",""MR Imaging System (超导型磁共振成像系统"",""Clincal Chemistry Analyser (全自动生化分析仪"",""VITROS Chemistry Products Calibrator Kit 13 (庆大霉素校准品"",""Instruments (膝关节假体配套手术器械(商品名：MIS Precoat Tibial Plate)""]"
"[""Scissors (医用剪"",""Brain Retractor System (脑牵拉系统"",""General operating instruments (基础外科手术器械(商品名：西赛尔手术器械 cicel Surgical Instruments)"",""C-reactive Protein (CRP) (C反应蛋白测定试剂盒 (免疫比浊法)"",""Creatinine(Cre) (肌酐测定试剂盒(酶法)"",""α-Amylase-DR(α-Amy-DR) (淀粉酶测定试剂盒(CNP-G3法)"",""Lactate Dehydrogenase(LDH-L) (乳酸脱氢酶测定试剂盒(LD-L法)"",""Headway Microcatheter (微导管(商品名：Headway)"",""ONETOUCH Ultra Test Strips (血糖试纸(商品名:稳豪型)"",""ONETOUCH Ultra Test Strips (血糖试纸(商品名:稳豪型)"",""ONETOUCH Ultra Test Strip (血糖试纸(商品名：稳豪型)"",""RET-SHEATH (网织红细胞鞘液"",""Lipid Calibrator (脂类校准品"",""BionicBracket System (金属正畸托槽"",""Intraocular Lens Injector (人工晶体推注器""]"
"[""Blood Glucose Monitoring System (血糖仪"",""Drills (牙钻"",""Dental Surgery Instruments (齿科种植系统用工具"",""Accu-Chek Safe-T-Pro Plus (采血针(商品名：悦采型采血针)"",""Suction Tube (吸引管"",""Denture base polymers (Vertex Rapid Simplified base material) (义齿基托聚合物(牙托粉)(商品名：Vertex)"",""Self-Centering Hip System (双极头(商品名：Self-Centering)"",""VITROS Chemistry Products Calibrator Kit 17 (超敏C-反应蛋白校准品"",""C-peptide (CpS) (C-肽测定试剂盒(直接化学发光法)"",""Cholesterol Flex Reagent Cartridge (CHOL) (胆固醇测定试剂盒(终点法)"",""Creatinine Flex Reagent Cartridge (CREA) (肌酐测定试剂盒(比色法)"",""Creatinine Flex Reagent Cartridge (CREA) (肌酐测定试剂盒(比色法)"",""DELFIA Unconjugated Estriol(uE3) (游离雌三醇测定试剂盒(时间分辨荧光法)"",""SHBG CalSet (性激素结合球蛋白定标液"",""Porcelain Alloys (烤瓷合金""]"
"[""Polyisoprene Synthetic Latex Condoms (聚异戊二烯合成避孕套(商品名：非乳胶安全套)"",""Dental casting investments (齿科包埋材料"",""Uretero-renoscopes and Accessories (输尿管肾镜及附件"",""CP Stent (支架(商品名：NuMED)"",""Rotary Instruments (外科手术用旋转器械"",""Mitral Annuloplasty Ring (二尖瓣心脏瓣膜成形环(商品名：Carpentier-McCarthy-Adams IMR ETlogix)"",""Bilirubin Total DPD Gen.2 (BILT2) (总胆红素检测试剂盒(重氮法)"",""Bicarbonate Liquid (CO2-L) (重碳酸盐检测试剂盒(比色法)"",""Diagnostic Ultrasound Scanner (超声诊断仪"",""Double Lumen Sphincterotomes (双腔括约肌切开器"",""Pulse Generators (植入式心脏起搏器(商品名：Victory)"",""Myoglobin Control Set (肌红蛋白质控品"",""Stat Profile Critical Care Xpress Chemistry Controls \u0026 Performance Check Solution Auto-Cartridge With Creatinine (生化质控品"",""Stat Profile pHOx Ultra/Critical Care Xpress Chemistry Controls \u0026 Performance Check Solution Auto-Cartridge With Creatinine (生化质控品"",""Stat Profile Critical Care Xpress Blood Gas Controls Auto-Cartridge (血气分析仪用质控品""]"
"[""Noritake Katana Zirconia (则武氧化锆内冠材料"",""Rutner Balloon Suprapubic Catheter (耻骨上球囊导管(商品名：Rutner)"",""IMMULITE/IMMULITE1000 Total IgE (总免疫球蛋白E测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 HCG (人绒毛膜促性腺激素测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 EPO (促红细胞生成激素测定试剂盒(化学发光法)"",""HEV IgM ELISA (戊型肝炎病毒IgM抗体检测试剂盒(酶联免疫法)"",""HEV IgM ELISA (戊型肝炎病毒IgM抗体检测试剂盒(酶联免疫法)"",""HEMOGLOBIN A1c (糖化血红蛋白 HbA1c分析试剂盒(色谱-分光光度法)"",""17-HYDROXYCORTICOSTEROIDS (17-羟类固醇分析试剂盒(色谱-分光光度法)"",""AxSYM Toxo IgM (弓形虫IgM检测试剂盒(微粒子酶免法)"",""全自动生化分析仪 (全自动生化分析仪"",""Urisys 1100 (尿液分析仪"",""Tosoh Automated Glycohemoglobin Analyzer HLC-723G8 (全自动糖化血红蛋白分析仪"",""iSleep 25 (睡眠呼吸治疗系统"",""Tri-lock Hip Instruments (髋关节手术工具(商品名：Tri-lock)""]"
"[""Alaris GH Syringe Pump (注射泵"",""Digital Radiographic X-ray Systems (X射线数字摄影系统"",""VITROS Chemistry Products Calibrator Kit 28 (链球菌素校准品"",""VITROS Chemistry Products Calibrator Kit 28 (链球菌素校准品"",""VITROS Chemistry Products Calibrator Kit 13 (庆大霉素校准品"",""VITROS Chemistry Products Calibrator Kit 99 (抗胰蛋白酶与触珠蛋白校准品"",""FUJI INTENSIFYING SCREEN (增感屏"",""Alaris GW Volumetric Pump (输液泵"",""Pressure and Flow System (血管内超声波诊断仪"",""Transcranial Doppler transesophageal dynamics of non-invasive blood analysis system (经颅经食道多普勒无创血液动力学分析系统"",""Spine Instrument for Minimally Invasive Surgery product-II (脊柱配套工具-II类"",""BinaxNOW Influenza A＆B Test (甲型／乙型流感病毒抗原检测试剂盒(胶体金法)"",""Architect Pepsinogen I Reagent Kit (胃蛋白酶原I测定试剂盒(化学发光微粒子免疫检测法)"",""Architect Pepsinogen II Reagent Kit (胃蛋白酶原II测定试剂盒(化学发光微粒子免疫检测法)"",""Disposable Arthroscopy Shoulder Manual Instrument (一次性肩关节镜基础工具组合""]"
"[""Noninvasive Hemogram Analyser (无创血液分析仪"",""Electrosurgical devices (高频电刀"",""Scopes and Instruments of Urology and Gynecology (输尿管镜"",""Single Photon Emission and Computed TomographySystem (单光子发射及计算机断层扫描系统(商品名：BrightView XCT成像系统)"",""Spinal Endoscopy (椎间盘镜及附件"",""Transport Incubator (转运培养箱"",""VITROS Chemistry Products ApoB Reagent (载脂蛋白B测定试剂盒(免疫比浊法)"",""Ethanol Gen.2 (ETOH2) (酒精检测试剂盒(酶比色法)"",""Ethanol Gen.2 (ETOH2) (酒精检测试剂盒(酶比色法)"",""Ventilator (呼吸机"",""Digital ultrasound scanner (数字化彩色超声波诊断装置"",""Papillotomes (括约肌切开器"",""Coagulation Instrument (全自动凝血分析仪"",""Bact/ALERT 3D with Mycobacteria Indication (全自动细菌分枝杆菌培养监测系统"",""MR Injector System (高压造影注射系统(商品名：Medrad)""]"
"[""Pacing Lead (起搏电极导线(商品名：IsoFlex)"",""Triglycerides (TRIGL) (甘油三酯检测试剂盒(比色法)"",""Total Protein Urine/CSF Gen.3 (TPUC3) (总蛋白(尿液脑脊液)检测试剂盒(免疫比浊法)"",""Fe(IRON2) (铁检测试剂盒(比色法)"",""GORE MYCROMESH Biomaterial (微孔补片(商品名：GORE MYCROMESH)"",""VITROS Chemistry Products Calibrator Kit 24 (白蛋白校准品"",""VITROS Chemistry Products dTIBC Performance Verifier I and II (总铁结合力质控品"",""Glass Fiber Post (纤维桩(商品名：ENA Post)"",""Balloon Dilatation Catheter (球囊扩张导管(商品名：Ryujin Plus OTW)"",""Electronic Apex Locator (根管长度测量仪"",""Locking Plates (锁定接骨板"",""direct LDL Cholesterol (LDL) (低密度脂蛋白胆固醇检测试剂盒(直接清除法)"",""TOTAL PROTEIN(TP) (总蛋白检测试剂盒(缩二脲法)"",""ARCHITECT Testosterone Reagent Kit (睾酮测定试剂盒(化学发光微粒子免疫检测法)"",""ARCHITECT STAT CK-MB Reagent Kit (肌酸激酶同工酶测定试剂盒 (化学发光微粒子免疫检测法)""]"
"[""LyphochekFertility Control, Trilevel (β-HCG质控液"",""Cyto-STAT tetraCHROME CD45-FITC/CD56-RD1/CD19-ECD/CD3-PC5 (淋巴细胞检测试剂盒"",""Ethanol Gen.2 (ETOH2) (酒精检测试剂盒(酶比色法)"",""Ammonia (NH3L) (血氨检测试剂盒(比色法)"",""Ammonia (NH3L) (血氨检测试剂盒(比色法)"",""Iron Staining Kit (铁染色液"",""Light Green for PAS (亮绿－过碘酸雪夫氏染色液"",""SimultestTM IMK-Lymphocyte Kit (淋巴细胞亚群检测试剂盒(流式细胞法)"",""BD HLA-B27 Kit (HLA-B27 检测试剂盒(流式细胞法)"",""Celox Haemostatic Granules (止血颗粒(商品名：Celox)"",""Total Protein Flex Reagent Cartridge (TP) (总蛋白测定试剂盒(终点法)"",""Total Protein Flex Reagent Cartridge (TP) (总蛋白测定试剂盒(终点法)"",""Glucose Flex Reagent Cartridge (GLU) (葡萄糖测定试剂盒(终点法)"",""Chlamydia pneumoniae IgM EIA (肺炎衣原体IgM抗体检测试剂盒(酶联免疫法)"",""Anti-HSV-2(gG2)ELISA (IgM) (抗单纯疱疹病毒2型糖蛋白G2抗体IgM检测试剂盒(酶联免疫吸附法)""]"
"[""Anti-HSV-2(gG2) ELISA (IgM) (抗单纯疱疹病毒2型糖蛋白G2抗体IgM检测试剂盒(酶联免疫吸附法)"",""Micro SSP TM HLA DNA Typing Trays (HLA-DNA分型试剂盒(SSP法)"",""SOFT CONTACT LENS (软性亲水接触镜"",""Triple Lumen Sphincterotomes (三腔括约肌切开器"",""Flexible hysteroscope system (子宫纤维镜"",""X-ray Radiographic System (X射线摄影系统"",""Embolization Coils (栓塞弹簧圈"",""Nephrostomy \u0026 Drainage Catheter Sets (肾造瘘及引流导管套件"",""Dilatation Catheter (球囊扩张导管(商品名：Hiryu)"",""Alere BinaxNow(r) Streptococcus pneumoniae Antigen Card (肺炎链球菌抗原检测试剂盒(胶体金法)"",""AxSYM CORE-M Controls (乙型肝炎病毒核心抗体IgM质控品"",""AxSYM free PSA Reagent Pack (游离前列腺特异性抗原检测试剂盒(微粒子酶联免疫检测法)"",""Architect HBsAg (乙型肝炎病毒表面抗原定量测定试剂盒(化学发光微粒子免疫检测法)"",""AxSYM CA 15-3 Reagent Pack (癌抗原15-3测定试剂盒(微粒子酶联免疫检测法)"",""AxSYM Total PSA Reagent Pack (总前列腺特异性抗原检测试剂盒(微粒子酶联免疫检测法)""]"
"[""VIDAS CA 15-3 (糖类抗原15-3检测试剂盒(酶联免疫荧光法)"",""Uric acid(UA) (尿酸测定试剂盒(尿酸酶-过氧化酶法)"",""Surgical Drills (手术用钻"",""Dental Casting Alloys (齿科烤瓷合金"",""Disposable Latex Examination gloves (一次性使用医用橡胶检查手套"",""Lancing Devices (采血笔"",""VITROS Chemistry Products FS Calibrator 1 (生化分析仪用空白校准品"",""VITROS Chemistry Products AAT/HPT Performance Verifiers I, II, and III (α1-抗胰蛋白酶/触珠蛋白质控品"",""VITROS Chemistry Products AAT/HPT Performance Verifiers I, II, and III (α1-抗胰蛋白酶/触珠蛋白质控品"",""Screening Audiometer (筛查型听力计"",""Fertility Monitor (排卵检测仪(商品名：OvaCue)"",""dental vacuums (牙科抽吸系统"",""Automated Hematology Analyzer (全自动血液分析仪"",""Cholesterol(CHOL) Reagent (胆固醇测定试剂盒(酶法)"",""Cholesterol-2 Reagent (CHOL-2) (胆固醇测定试剂盒(酶法)""]"
"[""LR-ACT Cartridge (低范围活化凝血时间试剂盒(凝固法)"",""HR-ACT Cartridge (高范围活化凝血时间试剂盒(凝固法)"",""DIRECT DIGITIZER (数字图像处理系统"",""AtheNA Multi-Lyte Rheumatoid Factor IgM TEST SYSTEM (类风湿因子检测试剂盒(多重微珠免疫法)"",""AtheNA Multi-Lyte ANA TEST SYSTEM (抗核抗体检测试剂盒(多重微珠免疫法)"",""dsDNA IgG Elisa Test System (双链DNA检测试剂盒(酶联免疫法)"",""PepsinogenⅠ (胃蛋白酶原Ⅰ检测试剂盒(酶联免疫法)"",""PepsinogenⅡ (胃蛋白酶原Ⅱ检测试剂盒(酶联免疫法)"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""VITROS Chemistry Products Calibrator Kit 20 (特种蛋白校准品"",""ARCHITECT Estradiol Calibrators (雌二醇校准品"",""Rigid Gas Permeable Contact Lens (硬性透氧性角膜接触镜"",""ALN Removal and/or repositioning kit (腔静脉滤器移出器"",""OptiBond S (牙科粘合剂"",""LactoSorb Bone Fixation Set (可吸收骨折内骨固定体""]"
"[""Right corneal contact lenses (硬性角膜接触镜(商品名：硬性角膜接触镜)"",""Single Use Cannula V (造影管(商品名：威势(V))"",""Myeloperoxidase IgG ELISA TEST SYSTEM (髓过氧化物酶IgG检测试剂盒(酶联免疫法)"",""VITROS Chemistry Products FS Diluent Pack 3 (Specialty Diluent/Water) (生化分析仪用稀释液"",""VITROS Chemistry Products FS Diluent Pack 3 (Specialty Diluent/Water) (生化分析仪用稀释液"",""VITROS Chemistry Products HCY Performance Verifiers I, II, and III (同型半胱氨酸质控品"",""VITROS Chemistry Products HCY Performance Verifiers I, II, and III (同型半胱氨酸质控品"",""Magnesium (MG) (镁检测试剂盒(比色法)"",""M-Trol 1 (多项生化质控品"",""M-Trol 1 (多项生化质控品"",""M-Trol 2 (多项生化质控品"",""Diagnostic Electrode Catheter (心内电生理导管(商品名：巴德)"",""HELIX ACP and HELIX MINI ACP System Instruments (脊柱外科手术工具(商品名：Helix)"",""Natural Rubber Latex Male Condoms (天然胶乳橡胶避孕套"",""Addition-cured duplicating silicon (技工用硅橡胶""]"
"[""Orthodontic Instruments (齿科正畸钳(商品名：齿科正畸钳)"",""TUFF COBALT Dental Casting Cobalt Chromium Alloy (支架铸造合金(商品名：TUFF COBALT)"",""Surgical Instruments (脊柱外科用工具"",""Stereotactic System (立体固定系统"",""Prolene Polypropylene Non-absorbable Synthetic Surgical Mesh (外科网片(商品名：PROLENE)"",""Dynamic Stabilization System (腰椎动态稳定系统(商品名：DSS)"",""MIS Rod (微创固定棒"",""Telefix (脊柱前路预装可调钉板固定系统"",""Fe(IRON2) (铁检测试剂盒(比色法)"",""ANA SCREEN ELISA TEST SYSTEM (抗核抗体检测试剂盒(酶联免疫法)"",""Biodesign Surgisis Dural Graft (硬脑膜修补片(商品名：Biodesign Surgisis)"",""Ophthalmic Digital Scanning Imaging System (眼科数字扫描成像系统"",""OptiBond All-In-One (自酸蚀粘合剂"",""Cannulated screws (空心螺钉(商品名：奥特)"",""Midfoot Fusion Bolt (中足融合栓""]"
"[""CEA (癌胚抗原测定试剂盒(直接化学发光法)"",""Determine HBsAg (乙型肝炎病毒表面抗原检测试剂盒(胶体硒法)"",""Access Folate (叶酸测定试剂盒(化学发光法)(商品名：叶酸试剂盒)"",""Access Folate (叶酸测定试剂盒(化学发光法)(商品名：叶酸试剂盒)"",""M-Trol 2 (多项生化质控品"",""total P1NP CalSet (总I型胶原氨基端延长肽定标液"",""total P1NP CalSet (总I型胶原氨基端延长肽定标液"",""FT3 CalSet (游离三碘甲状腺原氨酸定标液"",""Microscope (生物显微镜"",""Middle-EarAnalyzer (耳声阻抗测量仪(商品名：MADSEN)"",""Mammographic System X-Ray System (乳腺X射线摄影系统"",""Infrared Radiator (红外辐射治疗仪"",""ArcoFix (胸腰椎前路固定系统(商品名：ArcoFix)"",""Hypodermic Needle (一次性使用无菌注射针(商品名：TSK)"",""Endoscopes and Accessories for Plastic surgery (整形外科手术内窥镜及附件""]"
"[""ENDOCAM SYSTEMS FOR ENDOSCOPE (内窥镜摄像系统"",""DIAGNOSTIC ULTRASOUND SYSTEM (超声诊断设备"",""Medical Dry Laser Imager (医用干式激光打印机"",""VANILMANDELIC ACID (香草扁桃酸分析试剂盒(色谱-分光光度法)"",""ARCHITECT LH Reagent Kit (促黄体生成素测定试剂盒 (化学发光微粒子免疫检测法)"",""Glucose PAP SL (葡萄糖诊断试剂盒(酶比色法)"",""Medivators Automated Endoscope Reprocessor (全自动内窥镜清洗消毒机(商品名：Medivators 系列全自动内窥镜清洗消毒机)"",""Modular Perfusion System 8000 (人工心肺机(商品名：Sarns)"",""Triage MeterPro (荧光免疫分析仪"",""Electrical Lifter (电动移位机"",""Rapidsorb Cranial Clamp (快速可吸收颅骨夹"",""AxSYM B12 Reagent Pack (维生素B12测定试剂盒(微粒子酶联免疫检测法)"",""SPOTCHEM II GPT/ALT (谷丙转氨酶检测试纸(酶活性测定法)"",""Spine \u0026 Trauma Fluoro 3D (脊柱和创伤导航软件"",""SYSTEM CHART (液晶视力表""]"
"[""Refrigerated Centrifuge (冷冻离心机"",""Tina-quant IgM Gen.2 (IGM-2) (免疫球蛋白M检测试剂盒(免疫比浊法)"",""Tina-quant IgM Gen.2 (IGM-2) (免疫球蛋白M检测试剂盒(免疫比浊法)"",""Tina-quant IgM Gen.2 (IGM-2) (免疫球蛋白M检测试剂盒(免疫比浊法)"",""Tina-quant IgG Gen.2 (IGG-2) (免疫球蛋白G检测试剂盒(免疫比浊法)"",""VITROS Chemistry Products Calibrator Kit 20 (特种蛋白校准品"",""VITROS Chemistry Products Calibrator Kit 29 (总铁结合力校准品"",""VITROS Chemistry Products Calibrator Kit 29 (总铁结合力校准品"",""VB12 (维生素B12测定试剂盒(直接化学发光法)"",""IOTest CD7-FITC (白细胞分化抗原CD7检测试剂盒(流式细胞仪法)"",""IOTest CD5-PE (白细胞分化抗原CD5检测试剂盒(流式细胞仪法)"",""Cochlear Implant (人工耳蜗植入体(商品名：Nucleus freedom )"",""Prolactin Ⅱ (催乳素检测试剂盒(电化学发光法)"",""Ferritin CalSet (铁蛋白定标液"",""Prolactin II CalSet (催乳素定标液""]"
"[""IMMULITE2000 Thyroglobulin (甲状腺球蛋白测定试剂盒(化学发光法)"",""Ventilator (呼吸机"",""Angiographic Injection System (血管造影注射系统"",""Color Ultrasound System (彩色超声诊断仪"",""IMMULITE/IMMULITE 1000 Cortisol (皮质醇测定试剂盒(化学发光法)"",""Dual-Cure Core Materials (双重固化树脂桩核材料(商品名：ParaCore)"",""Esteem Synergy Pouch (造口袋(商品名：易优稳)"",""CoCr casting alloy (牙科铸造合金 钴铬合金(商品名：Robur 400(r))"",""Dental Alloy (牙科烤瓷合金 钴铬合金(商品名：Keragen(r))"",""Bone Punch (骨穿孔钳"",""Bone Calipers (骨测量卡钳"",""Surgical Blade (手术刀片"",""Ophthalmic instruments (眼科手术器械(商品名：西赛尔)"",""IMMULITE/IMMULITE1000 Troponin I (肌钙蛋白I测定试剂盒(化学发光法)"",""IMMULITE/IMMULITE1000 Troponin I (肌钙蛋白I测定试剂盒(化学发光法)""]"
