keywords
""
"[""一次性使用医用垫单"",""一次性使用医用棉球"",""一次性使用医用橡胶检查手套"",""纱布绷带"",""一次性使用负压引流器"",""一次性使用便袋"",""一次性使用医用镊子"",""一次性使用备皮包"",""上翘型喉手术钳"",""左弯型喉手术钳"",""上翘左弯型喉手术钳"",""一次性使用口腔支架"",""咬骨钳"",""拆线剪"",""普通手术剪""]"
"[""丁字式开口器"",""止血钳"",""子宫颈活体取样钳"",""鼻镜"",""鼻咽活体取样钳"",""XD-C型产床"",""XD-F型妇科检查床"",""丝锥"",""埋头钻"",""快装手柄"",""医用钻头"",""改锥"",""双动弯剪"",""倒齿抓钳"",""鼠齿抓钳""]"
"[""输卵管抓钳"",""注水手柄"",""开睑器"",""眼用手术剪"",""硅橡胶压迫器"",""眼用镊　　　"",""巩膜咬切器"",""泪囊拉钩"",""冲洗针"",""直视卵圆抓钳"",""尿素氮试剂盒(GLDH偶联法)"",""病床"",""骨科牵引床"",""担架"",""AC6000系列糖化血红蛋白分析仪配套专用试剂""]"
"[""听诊器"",""助行器"",""拐杖"",""肾蒂钳"",""直型喉手术剪"",""Φ3右弯型喉息肉钳"",""组合铰刀"",""弯板器"",""螺钉打滑取出器"",""螺纹导针"",""退热贴"",""医用X射线辐射"",""医用换药镊"",""医用拆线剪"",""普通手术剪""]"
"[""一次性使用多功能引流袋"",""一次性使用注食器"",""负压引流装置"",""开睑器"",""角巩膜切开刀"",""牙科铸造蜡(商品名：天匠)"",""牙科磷酸盐钛铸造包埋材料"",""切腱剪"",""12点钟注吸器"",""眼窝测量球"",""泪道探针"",""眼用异物吸铁器"",""眼用测量尺"",""白内障超乳多用辅助钩"",""睑板囊肿锐匙""]"
"[""医用高分子夹板"",""一次性使用透气胶贴"",""一次性使用医用棉签"",""纱布绷带"",""医用棉球、棉签"",""医用激光胶片"",""显微结扎镊"",""夹钉镊"",""人工晶体植入镊"",""右弯型喉手术剪"",""医用腰部固定带"",""创口护理包"",""消毒棉球"",""消毒棉棒"",""图标投影仪""]"
"[""自动气压止血仪"",""骨刀"",""瑞氏染色液"",""疗疝绷带"",""支撑喉镜"",""一次性使用负压引流器"",""一次性使用引流袋"",""一次性使用医用垫单"",""一次性使用薄膜手套"",""一次性使用口腔镜"",""医用输液胶带"",""一次性使用胃镜检查包"",""一次性使用口腔诊疗包"",""一次性使用备皮刀"",""一次性使用镊子""]"
"[""一次性使用薄膜手套"",""一次性使用负压引流器"",""病人推床"",""病床"",""灌洗器"",""铝合金拐杖"",""医用输液贴"",""医用激光纸介质胶片"",""医用激光打印机"",""细胞处理试剂盒"",""碘伏棉条"",""一次性使用肠镜检查包"",""JH型视力表灯箱"",""引流管固定器"",""X射线防护屏""]"
"[""静脉显影仪"",""PK-6801型五官科椅"",""XTM-20系列医用病床"",""XTM-30系列医用推车"",""一次性使用防回流引流袋"",""医用棉球、棉签"",""血细胞分析仪/尿沉渣分析仪试剂"",""尿沉渣分析仪应用试剂"",""尿沉渣分析仪应用试剂"",""总胆汁酸(TBA)测定试剂盒(循环酶法)"",""降温贴(退热贴)"",""自粘弹性绷带"",""浮标式氧气吸入器"",""钢丝剪"",""肢体矫形器""]"
"[""助行器"",""康肤凝胶"",""髋臼安装器"",""创口贴"",""管状压力绷带"",""膜状内障剪"",""显微持针钳"",""刀片夹持器"",""注吸器"",""小梁咬切器"",""晶体线环"",""颈椎牵引器"",""腰椎固定带、牵引带"",""一次性使用人体腔道给药器"",""一次性连抽式止血带""]"
"[""骨钻"",""显微眼用镊"",""人工晶体植入镊"",""虹膜恢复器"",""小梁剪"",""一次性使用人工肛门袋"",""一次性使用引流袋"",""手术刀片"",""创可贴"",""新生儿床(商品名称：ParaBaby)"",""退热快贴"",""水凝胶迷迭香精油贴(商品名：醒脑快贴)"",""水凝胶杜松精油贴(商品名：伤痛快贴)"",""脱脂棉球"",""输氧管""]"
"[""Sysmex"",""Sysmex"",""水凝胶丁香精油贴(商品名：足底清凉快贴)"",""晶体植入镊"",""显微结扎镊"",""显微吗丁镊"",""显微系线镊"",""冲洗针"",""一次性使用螺纹连接管"",""一次性使用湿化瓶"",""医用橡胶检查手套"",""一次性使用医用橡胶检查手套"",""一次性使用医用棉签"",""一次性使用男性尿袋"",""一次性使用医用垫单""]"
"[""医用输液瓶口贴"",""一次性使用止血带"",""负压吸引用收集装置"",""一次性使用超声探头套"",""脱脂纱布绷带"",""一次性使用镊子"",""KL-2型综合产床"",""胫骨平台复位器"",""骨锉"",""半月板刀"",""电刀头清洁片"",""一次性使用牙科包"",""医用多功能移动车"",""双相血培养瓶"",""颈椎舒展器(商品名：n°自由力)""]"
"[""一次性使用拆线包"",""医用棉球"",""一次性使用薄膜手套"",""一次性使用医用橡胶检查手套"",""防逆流引流袋"",""一次性使用口腔护理包"",""集尿袋"",""一次性卡口式止血带"",""集尿袋"",""碎核镊"",""普通产床"",""眼科手术台"",""气压平床"",""WSX-S平板担架"",""增强液(时间分辨荧光免疫分析用)""]"
"[""听诊器"",""FY-01型自动染色鉴别直读仪"",""复合碘医用消毒棉签"",""病床"",""妇科检查床"",""抢救床"",""对接车"",""基础眼科手术器械包"",""一次性使用防逆流引流袋"",""一次性使用备皮刀"",""一次性使用医用垫单"",""一次性使用备皮包6801"",""一次性使用换药包"",""一次性使用医用垫单"",""脱脂纱布绷带""]"
"[""脱脂纱布绷带"",""一次性使用换药盒"",""一次性使用连接导管"",""一次性使用薄膜手套"",""医用超声耦合剂"",""快速全自动医用清洗机"",""X线胶片定影液"",""X线胶片显影液"",""X线胶片酸性坚膜定影粉"",""易折碘伏棉棒"",""易折苯扎氯铵棉棒"",""轻巧护翼创可贴"",""骨刀"",""刮匙"",""医用离心机(台式)""]"
"[""脑打诊锤"",""HL8系列头灯(商品名：医用头灯)"",""丁字式开口器"",""骨刮匙"",""一次性使用胃镜检查包"",""一次性使用负压引流器"",""一次性使用备皮包"",""一次性使用肛门镜"",""一次性使用脐带夹"",""一次性使用医用橡胶检查手套"",""一次性使用肛门镜"",""输液贴"",""医用影像输出系统"",""AC6000系列糖化血红蛋白分析仪配套专用试剂"",""救护担架车""]"
"[""一次性使用无纺布叠片"",""医用彩色超声成像胶片"",""一次性使用精子采样管"",""AC6000系列糖化血红蛋白分析仪配套专用试剂"",""听诊器"",""一次性连抽式止血带"",""急救绷带"",""帕巾钳"",""网状头套"",""眼科准分子手术器械包"",""缝线结扎镊"",""JH系列X光片观片灯"",""一次性使用喉镜片"",""引流导管固定装置"",""引流导管固定敷料""]"
"[""喉镜窥视片"",""维纳斯剪"",""小梁剪"",""剥离子"",""肌瘤分离器"",""宫颈压板"",""抗菌弹性创可贴"",""医用超声耦合剂"",""一次性使用微量采血管"",""一次性使用聚氯乙烯医用检查手套"",""医用激光胶片"",""一次性使用护理包"",""天清康泰冲洗器"",""医用矫形高分子夹板"",""医用高分子绷带""]"
"[""医用消毒棉球、片"",""医用胶布"",""一次性使用无菌冲洗器"",""医用超声耦合剂"",""CJ系列医用牵引床"",""一次性使用废液收集袋"",""一次性使用医用橡胶检查手套"",""一次性使用送药器"",""医用检查包"",""一次性使用引流管套组"",""一次性使用垫巾"",""消毒棉球"",""KMC医用病床"",""创可贴"",""降温贴""]"
"[""一次性使用连接管"",""一次性使用医用橡胶检查手套"",""一次性使用备皮刀"",""一次性使用备皮包"",""一次性使用压舌板"",""一次性使用肛门袋"",""一次性使用负压吸引袋"",""一次性使用连接导管"",""一次性使用换药盒"",""一次性使用负压引流器"",""一次性使用引流袋"",""KL型检查床"",""一次性使用换药包"",""一次性使用镊子"",""一次性使用备皮包""]"
"[""一次性使用口腔包"",""一次性使用负压引流器"",""一次性使用引流袋"",""一次性使用换药盆"",""一次性使用备皮包"",""一次性使用医用橡胶检查手套"",""一次性使用负压引流器"",""一次性使用引流袋"",""一次性使用薄膜手套"",""一次性使用镊子"",""医用石蜡棉球"",""一次性使用连接导管"",""医用引流装置"",""妇科诊察床"",""输液贴""]"
"[""无纺布帽子"",""JY-1一次性使用口镜"",""医用护理垫"",""无菌输液贴"",""血细胞分析仪溶血剂Ⅱ"",""斑贴试验测试器"",""颈椎牵引器"",""骨科牵引器"",""BC-3D血细胞分析用稀释液"",""BC-3D血细胞分析仪用溶血剂"",""SYS-3D血细胞分析仪用稀释液"",""SYS-3D血细胞分析仪用溶血剂"",""银汞合金充填器"",""总胆汁酸试剂盒(循环酶法)"",""血细胞分析仪应用试剂""]"
"[""组织细胞染色液"",""腰围"",""人体定位袋"",""医用纱布绷带"",""医用棉球(卷)"",""有机玻璃消毒薰箱"",""二合一护创包"",""三合一护创包"",""前列腺拉钩"",""直视取物钳"",""KMD型大小轮担架"",""KMQ型颈椎牵引椅"",""酒精消毒片"",""视力表灯"",""X线胶片观察灯""]"
"[""医用消毒片"",""KL-3系列普通产床"",""一次性使用医用橡胶检查手套"",""一次性使用排尿计量瓶"",""一次性使用咬口"",""一次性使用消毒棉签"",""一次性使用肛门镜"",""CBC型影像快速定位标尺"",""脱脂棉球"",""痘痘水胶贴(已注销)"",""妇科抗菌凝胶"",""J2X08型胸腰椎后路内固定系统器械包"",""动力扩髓系统器械包"",""J602型透光型经椎间孔入路融合器器械包"",""J605/J606型透光型颈椎前路融合器器械包""]"
"[""胃抓钳"",""粗齿无创伤抓钳"",""弹性绷带"",""一次性使用医用卫生棉球"",""石膏衬垫"",""一次性使用换药包"",""NBR型医用病床"",""一次性使用换药盒"",""一次性使用医用钳"",""一次性使用口腔包"",""一次性使用塑料镊子"",""一次性使用引流袋"",""一次性使用备皮包"",""一次性使用引流导管固定器"",""一次性消毒棒""]"
"[""留置针胶带"",""一次性使用垫单"",""一次性使用引流袋"",""一次性使用棉签"",""一次性使用采血护理包"",""一次性使用压舌板"",""一次性使用医用垫单"",""一次性使用医用棉签"",""医用棉球"",""一次性使用消毒棉签"",""一次性使用医用包布"",""直视固定抓钳"",""整形镊"",""角膜剪"",""开睑器""]"
"[""显微持针钳"",""人工晶体定位钩"",""一次性使用负压引流装置"",""一次性妇检护理包"",""氧气袋"",""助行器"",""拐杖"",""病床"",""超声PACS医用诊断报告胶片"",""医用信息码纸介质胶片"",""医用PACS电子胶片"",""一次性使用聚氯乙烯(PVC)手套"",""抱核镊"",""玻切透镜镊"",""翻眼镊""]"
"[""角膜上皮扒钩"",""角膜上皮垫板"",""角膜上皮刮针"",""阑尾拉钩"",""自动气压止血带"",""斑贴试验胶带"",""熟石膏绷带"",""纯化仪"",""对接转运床"",""医用自粘弹性绷带"",""超强型熟石膏绷带"",""石膏夹板"",""手摇病床"",""移动式紫外线杀菌车架"",""妇科压板""]"
"[""颈腰椎牵引器"",""疗疝绷带"",""耳用手术器械包"",""医用绷带"",""医用碘伏棉球"",""一次性使用输液贴"",""铝合金担架"",""医用输液瓶口贴"",""空心钉安装器械包"",""骨折内固定安装器械包"",""医用超声耦合剂"",""鹅头钉安装器械包"",""下肢骨折整复器"",""X线胶片冲洗套液"",""X线胶片冲洗粉""]"
"[""环保透明脱蜡液"",""竹吸罐"",""紫外线消毒车"",""冷光单孔手术灯"",""碘伏棉棒(商品名称：碘伏水笔棉)"",""防水抗菌创可贴"",""酒精棉棒(商品名称：酒精水笔棉)"",""苯扎氯铵棉棒(商品名称：苯扎氯铵水笔棉)"",""医用输液瓶口贴"",""全自动血液分析仪用溶血剂(商品名称：STROMATOLYSER?-FB)"",""全自动血液分析仪用溶血剂(商品名称：STROMATOLYSER?-4DL)"",""中性快干胶"",""听诊器"",""神经诊锤"",""医用自粘弹性绷带""]"
"[""医用超声耦合剂"",""医用X射线胶片"",""降温贴"",""晕车贴(晕车快贴)(已注销)"",""医用影像输出系统"",""醒脑贴(醒脑快贴)(已注销)"",""固定滤线栅胸片架"",""外固定器"",""一次性使用压舌板"",""一次性使用换药镊"",""一次性使用止血带"",""废液收集器"",""超声PACS医用诊断报告胶片"",""医用纱布绷带"",""一次性检查用复膜垫单""]"
"[""集菌培养容器"",""医用超声耦合剂"",""医用杀菌超声耦合剂"",""银汞调合器"",""丙氨酸氨基转移酶试剂盒(IFCC推荐法)"",""抗菌透气创可贴"",""防水抗菌创可贴"",""医用PET胶片"",""医用信息储存光盘"",""医用信息光盘刻录机"",""显微结膜镊"",""斜视镊"",""洁力佳表面消毒巾(一次性医用消毒抹布)"",""全自动输液助警器"",""医用弹性绷带""]"
"[""婴儿床"",""诊查床"",""医用弹性绷带"",""医用石膏衬垫"",""医用弹性绷带"",""医用弹性绷带"",""弹性绷带"",""一次性使用婴儿集尿袋"",""尿袋"",""造口袋"",""医用石膏衬垫"",""医用弹性绷带"",""血沉移液管"",""螺钉取出器械包"",""万向LCP桡骨锁定器械包""]"
"[""一次性正压式多用灌洗器"",""医用腕关节固定板"",""XC系列术后护理固定套(带)"",""喉头喷雾器"",""医用脱脂棉纱布绷带"",""医用纱布绷带"",""棉球、棉签"",""复合碘医用消毒棉签"",""酒精棉棒"",""酒精消毒棉球"",""鞘液"",""革兰染液"",""抗酸染液"",""医用棉球"",""一次性使用换药包""]"
"[""一次性使用薄膜手套"",""金属骨牵引针"",""医用干式成像仪(商品名：DRYPIX"",""棘突打孔器"",""吸引器"",""椎间盘铰刀"",""棘突打孔器"",""吸引器"",""C型止血钳"",""平型病床"",""二折病床"",""直视弯分离钳"",""直视重型抓钳"",""头皮夹钳"",""医用防护眼镜(商品名：短波光伤害防护镜)""]"
"[""一次性使用J型导管"",""乳腺散结贴(商品名：乳通贴)"",""KSC型手术交换车"",""LK系列医用胶片"",""RTC系列病床"",""一次性负压用引流袋"",""一次性止血带"",""医用彩超胶片"",""膀胱钳"",""直视无损大抓钳"",""病床"",""一次性使用连接管"",""一次性使用螺纹连接管"",""脱脂纱布绷带"",""一次性使用医用消毒棉签""]"
"[""一次性使用换药包"",""一次性使用胃镜检查包"",""一次性使用口腔包"",""一次性使用备皮刀"",""手术刀片"",""骨盆测量仪"",""摄片架"",""一次性使用棉签"",""一次性使用医用垫单"",""医用彩色打印胶片"",""一次性医用备皮刀"",""一次性医用备皮包"",""一次性使用压舌板"",""脱脂纱布绷带"",""医用石蜡棉球""]"
"[""一次性使用棉签"",""一次性使用脱脂纱布绷带"",""一次性使用棉球"",""吸氧湿化装置"",""一次性使用连接导管"",""一次性使用备皮包"",""医用棉球"",""脱脂纱布绷带"",""人工流产器械箱"",""节育环放取包"",""颈椎牵引器"",""手动吸痰器"",""氧气袋"",""助行器"",""手动气压止血带""]"
"[""鼻腔钳"",""息肉钳"",""咬骨钳"",""低密度脂蛋白胆固醇(LDL-C)测定试剂盒"",""肾盂拉钩"",""直视活检钳"",""直视重型抓钳"",""直视鸭嘴抓钳"",""肾石钳"",""直视钝头抓钳"",""阴茎夹"",""直视无损小抓钳"",""SL系列手术放大镜"",""医用高分子绷带"",""医用高分子夹板""]"
